id,love,joy,surprise,anger,sadness,fear,notes,comment N,comment N-1,comment N-2,...,comment 2,comment1,,,,,,,,,,,,,,,,,,
34239,,,,,,,,Fixed in revision 406707.,This patch deletes the existing overview file and redirects the links to the Wiki.,,,,,,,,,,,,,,,,,,,,,,
80924,,,,,,,,The changes looks good for me. Reviewed with no commentaries.,,,,,,,,,,,,,,,,,,,,,,,
68305,,,,,,,,Updated the binding components' parent pom.xml http://svn.apache.org/viewvc?view=rev&revision=557983,,,,,,,,,,,,,,,,,,,,,,,
12310,,,,,,,,Very cool. Thank you.,Patch is in CVS. Can you verify? Thanks.,My bad. The last line should be MAKE_SHARED_LOC= ${CXX} $(CXXFLAGS) -D${PLATFORM} -dynamiclib -prebind -seg1addr 0x40000000 -compatibility_version 1 -current_version 1.7 -install_name ${LOC_LIBNAME}${SHLIBSUFFIX},,,,,,,,,,,,,,,,,,,,,
918,,,,,,,,You should also consider using Avro for the marshalling/unmarshal of the records. http://avro.apache.org/ Lots of benefits - in particular it's cross-language. Re writing to disk - perhaps just re-use the ZK WAL code and write to a disk that's not storing the transactional log.,,,,,,,,,,,,,,,,,,,,,,,
31087,,,,,,,,Patch applied. Thanks Florian.,patch,,,,,,,,,,,,,,,,,,,,,,
75121,,,,,,,,[[ Old comment; sent by email on Mon; 2 Oct 2006 23:39:22 +0200 ]] Rahul; I'll fax it in tomorrow (I'm in GMT+1; soon midnight). Hallvard,Here is the procedure; just in case (helps if a project team member makes the JIRA upload request): http://maven.apache.org/guides/mini/guide-ibiblio-upload.html,The pnuts developer seemed interested (had already thought of) putting pnuts in a Maven repository; but has not yet commented on when it may happen. In the meantime; I'll work on the unit tests (I've already found and fixed a critical bug) and look at patches for the site documentation.,I can confirm receipt of your ICLA. Thanks for sending it in. Once pnuts is in the Maven repository; and a complete patch is available (ideally all related changes put together in a single patch file); we can make progress here.,Thanks. Reponses numbered same as earlier post: 3) The site sources are in the xdocs/ directory: http://svn.apache.org/repos/asf/jakarta/commons/proper/scxml/trunk/xdocs/ You can submit patches to the site sources; see this page for more on producing patches in the appropriate format: http://jakarta.apache.org/commons/patches.html 4) Let us know how that goes. I will follow up and confirm receipt of the ICLA (will require a few days).,I understand the need for quality assurance and I hope I can provide the necessary level. 1) OK. 2) OK; I'll have a look at the existing ones and copy what I need. 3) Who'll do that? 4) I don't know; I'll ask the list (yes; I'm subscribed; it's fairly quiet; since pnuts is mature and well documentet). The ICLA was faxed 10 hours ago.,Thanks for your time and the changes. Few comments: 1) The addition of Javadocs has introduced @author tags. Commons SCXML code does not contain those tags; the only attribution is the list on the team page on the website. The tags will need to be removed before this gets into the codebase; if it is accepted. 2) There are no test cases. Please look at the test suite and provide some test SCXML documents using pnuts along with the JUnit test cases. 3) We will also need to update the site documentation (such as the section on contexts and evaluators in the user guide) at the same time. 4) Is pnuts in a Maven 1 repository somewhere? If not; we will need that to happen first (might involve pinging the pnuts lists; are you subscribed there?). Finally; please let us know when your ICLA is sent and we can come back to this ticket then.,Slightly updated PnutsEvaluator.,Supporting Context implementation.,The Evaluator implementation.,Could you also fill out an Individual Contributor License Agreement (ICLA) for this? That is here (the fax number is on the form itself; you can mail it in too if you want): http://www.apache.org/licenses/icla.txt While it might seem like a barrier; its a one-time thing; and is needed for contributions such as this one which may contain new source files; for provenance and pedigree reasons. Let us know if you have any questions; thanks.,Thanks for your time and contribution; looks good. Additionally; it would be very nice of you if you could please: a) Add the ASLv2 license header to the file (see any other Commons SCXML file) b) Separate the Evaluator and Context impl in two separate source files (each with license headers; like the jsp or jexl packages) c) Remove any non Commons SCXML class references from the code d) Correct package name (suggest org.apache.commons.scxml.env.pnuts) e) Add Javadocs That would probably complete the contribution; IMO (barring anything I've missed here). Thanks again.,This simple Evaluator implementation adds support for using pnuts as the scripting language for SCXML. Note that the attached file implements a slightly modified Evaluator interface; where the newContext method takes an addition TransitionTarget parameter. However; this is not important for the actual implementation; as it is only used for caching the context for the purpose of other parts of my project. Similarly; there is a reference to and use of an additional class; ScxmlPnutsXswtRuntime class; that may be removed.,,,,,,,,,,,
76643,,,,,,,,Closed issues related to Roller 5.0 release.,Filed ROL-1831 for Planet.,Suggested fix for Roller Weblogger is now in trunk at revision 816262 Additional notes: - Planet MailUtil still uses static version. Has no non-static transport instance there. Planet needs more extensive changes to use a configured mail provider. - Static send would also call saveChanges() but that is a no-op for the transient message case.,I can confirm; that åÊ- this is an issue also on Tomcat. It has nothing to do with the container; though åÊ- the fix suggested by Stephan works åÊ- and should be included in the trunk,,,,,,,,,,,,,,,,,,,,
11773,,,,,,,,Triage: Not for Xalan-J 2.2. We still need to evaluate this in light of Gary's point: exactly what location should we report for result tree events in this kind of situation? I'm not sure we intended to set the locator in this particular situation. Also; if we never set the locator; then we're still following the SAX spec - while this is somewhat useful; it's still an optional feature.,Just classifying bugs as Keywords:APIBug == bugs that pertain to specific API calls or advanced usage of Xalan.,Better bug categorization: API/programmatic problems versus stylesheet execution/output creation problems.,MyCH is being called for result tree events. These are nodes that are being built by the transformer on the fly. What location would you like the Locator to show? Do you want to know the location information for the XSLT element (within cities.xsl) giving rise to this output element? You say that if you remove the XMLFilter; everything works properly. I can't tell from your posting what this new code would look like but I suspect it removes the transformer from the picture altogether and you are just receiving SAX events from the parse of the input cities.xml. This; of course; is a very different situation since your elements to content handler are coming directly from cities.xml and can be traced back to a location therein. Gary,Here is the program that produces this bug. Take any xml file and xslt file as input. The output that you would find is only 'startDocument() Invoked'. public class Test { åÊåÊåÊåÊpublic static void main(String[] argv) { åÊåÊåÊåÊåÊåÊåÊåÊtry { åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊTransformerFactory tfactory = TransformerFactory.newInstance(); åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊXMLReader reader = XMLReaderFactory.createXMLReader(); åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊreader.setContentHandler( new MyCH()); åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊSAXTransformerFactory saxTFactory = (SAXTransformerFactory)tfactory; åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊXMLFilter filter = åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊsaxTFactory.newXMLFilter(new StreamSource('cities.xsl')); åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊfilter.setParent(reader); åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊfilter.parse(new InputSource('cities.xml')); åÊåÊåÊåÊåÊåÊåÊåÊ} catch (Exception e) { åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊe.printStackTrace(); åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊSystem.exit(0); åÊåÊåÊåÊåÊåÊåÊåÊ} åÊåÊåÊåÊ} //end of main() }//End of class class MyCH extends DefaultHandler { åÊåÊåÊåÊLocator locator = new LocatorImpl(); åÊåÊåÊåÊpublic void setDocumentLocator(Locator l) { åÊåÊåÊåÊåÊåÊåÊåÊthis.locator = l; åÊåÊåÊåÊåÊåÊåÊåÊSystem.out.println('setDocumentLocator() invoked'); åÊåÊåÊåÊ} åÊåÊåÊåÊpublic void startDocument() { åÊåÊåÊåÊåÊåÊåÊåÊSystem.out.println('startDocument() invoked'); åÊåÊåÊåÊ} },,,,,,,,,,,,,,,,,,,
27656,,,,,,,,We'll look at the issue for 1.1,,,,,,,,,,,,,,,,,,,,,,,
14849,,,,,,,,Reporter asked for this to be closed.,Could somebody close this issue ; please?,Not a bug; but relates to a real bug. When using targets; you cannot use loading text in ajax widgets. To make this works; just set showLoadingText='false' at all involved widgets. Sorry guys to report an already catched bug.,,,,,,,,,,,,,,,,,,,,,
3399,,,,,,,,Changed MULTI_TEXTVALUE_SEPARATOR into a property configurable by injection of constant named xwork.validatorfileparser.multi_textvalue_separator. This makes it possible to have empty String as 'separator' if it apllies to your particular platform; without breaking the backward compatibility and changing default behaviour.,Rene; could you please have a look at this. Thanks; Rainer,,,,,,,,,,,,,,,,,,,,,,
58715,,,,,,,,Fixed in revision 1073288,,,,,,,,,,,,,,,,,,,,,,,
8202,,,,,,,,*** Bug 8704 has been marked as a duplicate of this bug. ***,*** Bug 7134 has been marked as a duplicate of this bug. ***,Kent; åÊåÊåÊåÊYour patch (a good catch) is in CVS; please help verify and close the bug; thanks. Rgds; Peiyong,,,,,,,,,,,,,,,,,,,,,
