id,love,joy,surprise,anger,sadness,fear,notes,comment N,comment N-1,comment N-2,...,comment 2,comment1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15793,,,,,,,,This has been fixed in CVS. You can get the latest xwork.jar (which fixes the problem) from http://ivyrep.opensymphony.com,One can also reproduce the bug by using something similar to <ww:label label='foo' name='foo' value='% {2.5} '/> As a workaround; call the toString() method on the object; like this : <ww:label label='foo' name='foo' value='% {object.myLong.(toString())} '/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75490,,X,,,,,,Ok; since you have a workaround I will close this.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46121,,,,,,,,----------------------------------------------------------- This is an automatically generated e-mail. To reply; visit: https://reviews.apache.org/r/1023/ ----------------------------------------------------------- (Updated 2011-07-08 20:04:37.543693) Review request for Thrift. Changes ------- Adding bug number for tracking. Summary ------- Remove bogus include. TAsyncChannel includes TTransportUtils but doesn't need/use it. This addresses bug THRIFT-1231. https://issues.apache.org/jira/browse/THRIFT-1231 Diffs /lib/cpp/src/async/TAsyncChannel.h 1143615 Diff: https://reviews.apache.org/r/1023/diff Testing ------- make check in lib/cpp Thanks; Diwaker,Integrated in Thrift #188 (See https://builds.apache.org/job/Thrift/188/) THRIFT-1231: Remove bogus include Client: c++ Patch: Diwaker Gupta Removing unused import TTransportUtils.h from TAsyncChannel.h. jfarrell : http://svn.apache.org/viewvc/?view=rev&rev=1144395 Files : /thrift/trunk/lib/cpp/src/async/TAsyncChannel.h,Committed; Thanks for the patch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14387,,,,,X,,,we're moving away from dojo integration in struts2; so you won't likely get much traction on this issue. If you want/need this resolved; then reopen; but provide a patch that we can apply. The core devs aren't going to allocate time to the dojo plugin at this point.,that bug arises when you have autoComplete=true. Setting it in false it works.,Setting to future pending a patch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26572,X,,,,,,,Thanks for testing; Shinobu. Probably a misconfiguration. Chris; try asking on the user list if this problem persists.,Should this be kept open? I tried it with 1.3/1.3.1/1.4/1.5-dev; and it all works.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81302,,,,,,,,Changes merged to the 0.16 branch; updating the fix-for version accordingly.,Reviewed by Alex. Approved for 0.16.,Reviewed with no comments,Thats right; if the priority differs then the decision can/must be made solely based on that since it means the entries are within entirely different QueueEntryLists; however if both are of the same priority then the entry IDs must be used to determine the relative position within a particular QueueEntryList.,Awesome...thanks a lot Robbie for the update...Now I understand the cause quite well. i looked at your CL..and it makes sense..I see that now you're actually comparing against the priority value itself; unlike earlier where the id's of the last seen/released messages were compared. Thanks a ton...I will try to play around with the updated code in trunk; and let you know if I find any issues (I guess I won't),Hi Alex; can you click the review button please,Hi praveen; The second consumer being present meant it would never work as-was; but it did indeed have nothing to do with why it failed to work originally; which actually seems to be identical in both test cases above in the end. The out-of-order queues (Priority; Sorted) make specific attempt during enqueues to ensure that when a message is added that would violate traditional FIFO behaviour that the consumer subscriptions are updated to reflect that they need to 'go back' and progress delivery from this 'earlier' point. This is ultimately done by leveraging the same underlying mechanism used to handle messages being acquired by consumers and then released back onto the queue again without actually being consumed (hence the 'released' field name references scattered throughout the process). There was a fairly clear defect in the way checking the need for such updates was performed with the PriorityQueues meaning it could fail to take the proper course of action and lead to the situation you observed; where a subscription had effectively already passed one or more higher priority messages and wouldnt be able to 'go back' for them meaning they would just sit on the queue. The update I made seems like it should fix the problem; and did allow both your examples to run reliably (after the modifications as mentioned above). In addition to the unit test(s) added with the update earlier; I have now also added a system test based on the process in your example which would sporadically fail to receive all the messages without the fix in place; and then reliably receives them all with it present. This is all on trunk now so you can try it out for yourself if you like. I forced the build of the nightly release job for the Java artefacts (https://builds.apache.org/view/M-R/view/Qpid/job/Qpid-Java-Artefact-Release) to run early; so the broker artefacts at this URL should now contain the fix: https://builds.apache.org/view/M-R/view/Qpid/job/Qpid-Java-Artefact-Release/lastSuccessfulBuild/artifact/trunk/qpid/java/broker/release/ Robbie,Hi Robbie; Thanks for the update. In the second case; I meant to close to consumer in the failing test that I sent you. I've updated the test and added it again. Even when I close the initial consumer the issue exists. Would that also be fixed by your change? Thanks a lot for taking this up immediately. It'd be great if we can get this in 0.16. Thanks; Praveen,I have taken a look at this today and noticed an issue in the PriorityQueue; which looks to have been possibly highlighted by a change made since 0.14 to resolve a not entirely dissimilar issue with the SortedQueue implementation which was added (see QPID-3704). I have committed a candidate fix to trunk; I'll request its inclusion in 0.16 once I do/add some further testing; although it is Justins call whether it makes the release. The example for your second case wasn't closing its initial consumer; so this will cause it to hold a prefetched message. Both examples were leaving messages on the broker when they were 'complete'. Modifying them to resolve those issues; I was able to repeatedly run them both successfully with the above mentioned change in place.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19946,,,,,,,//not sure if love or not,Is there any documentation such as 'getting started with swarm' available? If there is; could you share links? Thanks.,Changed the link to point to the project's code and examples in its new home - github.org/wicketstuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27659,,,,,,,,Closing as FIXED,The nightly builds are working again - so if you could test out this change using IE 5 I would appreciated it. http://cvs.apache.org/builds/jakarta-commons/nightly/commons-validator/ One dated on or after 7th Jan 2006 has the change (e.g. commons-validator- 20060107.zip) Niall,This issue was discussed on the Struts User list in the following thread: http://www.mail-archive.com/user%40struts.apache.org/msg39398.html I have modified validateUtilities.js as per your suggestion and as you say it appears to work fine. http://svn.apache.org/viewcvs?rev=366458&view=rev Unfortunately the nightly builds for Commons Validator don't seem to be working; hopefully that will be resolved soon. Since I don't have access to Internet Explorer 5; it would be great once the nightly builds are back again if you could test it. http://cvs.apache.org/builds/jakarta-commons/nightly/commons-validator/ Niall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,,,,,,,,I'm backporting this to 3.4 and 3.3 branches. --Michi,It works well. Forget my comment which mixed with local change.,... or not. --Michi,Looks like changing extern inline to static inline introduced some other compilation error. --Michi,If using static inline in hashtable_itr.h; we may want to delete same definition in hashtable_itr.c. Otherwise we got these errors _x0089_ÛÓ src/c/src/hashtable/hashtable_itr.c:45: error: redefinition of 'hashtable_iterator_key' src/c/src/hashtable/hashtable_itr.h:36: note: previous definition of 'hashtable_iterator_key' was here src/c/src/hashtable/hashtable_itr.c:49: error: redefinition of 'hashtable_iterator_value' src/c/src/hashtable/hashtable_itr.h:45: note: previous definition of 'hashtable_iterator_value' was here _x0089_ÛÓ,Integrated in ZooKeeper-trunk #1539 (See https://builds.apache.org/job/ZooKeeper-trunk/1539/) ZOOKEEPER-1339. C client doesn't build with --enable-debug (Eric Liang via michim) (Revision 1331246) Result = SUCCESS michim : http://svn.apache.org/viewcvs.cgi/?root=Apache-SVN&view=rev&rev=1331246 Files : /zookeeper/trunk/CHANGES.txt /zookeeper/trunk/src/c/src/hashtable/hashtable_itr.h,Thank you guys.,Hi Eric; The patch looks good. I'll check this in. Thanks! --Michi,Hi Michi; A new version patch was submitted following your suggestions; please check it. Regards; Eric,strip additional slashes in previous patch,Hi Eric; Sorry I meant extra slashes. You probably need to use --no-prefix option.  git diff --no-prefix > my.patch  To verify that the patch applies cleanly; go to the top directory in svn and run:  patch -p0 < my.patch  Thanks! --Michi,Hi Michi; Thanks for your reply. Would you mind to explain something about the 'extra lines'? I just changed the two related lines and generated the patch by git command; no manual operations. Regards; Eric,Hi Eric; Good catch! It looks like gcc doesn't inline when -O0 is given (which is the case with --enable-debug); and it doesn't compile extern inline functions by themselves. Using static inline is the right way to go. http://gcc.gnu.org/onlinedocs/gcc/Inline.html The patch isn't applying because it includes some extra lines. Could you update the patch? Thanks! --Michi,-1 overall. Here are the results of testing the latest attachment http://issues.apache.org/jira/secure/attachment/12520450/0001-fix-undefined-reference-in-issue-1339.patch against trunk revision 1330043. +1 @author. The patch does not contain any @author tags. -1 tests included. The patch doesn't appear to include any new or modified tests. Please justify why no new tests are needed for this patch. Also please list what manual steps were performed to verify this patch. -1 patch. The patch command could not apply the patch. Console output: https://builds.apache.org/job/PreCommit-ZOOKEEPER-Build/1051//console This message is automatically generated.,Probably a incorrect inline usage; change the extern inline to static inline looks fix this; see the patch.,From 62a9cb6951370bb70d8a1953f85a9667ceb84cff Mon Sep 17 00:00:00 2001 From: Eric Liang <eric.l.2046@gmail.com> Date: Fri; 30 Mar 2012 00:09:36 +0800 Subject: [PATCH] fix undefined-reference in issue 1339 _x0089_ÛÓ src/c/src/hashtable/hashtable_itr.h | 4 ++-- 1 files changed; 2 insertions; 2 deletions diff --git a/src/c/src/hashtable/hashtable_itr.h b/src/c/src/hashtable/hashtable_itr.h index 234d3e3..30379c7 100644 _x0089_ÛÓ a/src/c/src/hashtable/hashtable_itr.h +++ b/src/c/src/hashtable/hashtable_itr.h @@ -32;7 +32;7 @@ hashtable_iterator(struct hashtable *h); /* hashtable_iterator_key - return the value of the (key;value) pair at the current position */ -extern inline void * +static inline void * hashtable_iterator_key(struct hashtable_itr *i) { return i->e->k; @@ -41;7 +41;7 @@ hashtable_iterator_key(struct hashtable_itr *i) /*****************************************************************************/ /* value - return the value of the (key;value) pair at the current position */ -extern inline void * +static inline void * hashtable_iterator_value(struct hashtable_itr *i) { return i->e->v; _x0089_ÛÒ 1.7.0.4,Probably a incorrect inline usage; change the extern inline to static inline looks fix this; see the patch.,Probably a incorrect inline usage; change the extern inline to static inline looks fix this; see the patch.,Same happens on 3.4.2,Happens for me on trunk as well. Unfortunately am not sure what causes those bad references.,,,,,,,,,,,,,,,,,,,,,,,
78759,X,,,,,,,Fixed; thanks for the patch. http://svn.apache.org/viewcvs.cgi?rev=354520&view=rev,Created an attachment (id=17067) JDBCResources Javadoc adjustments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
