id,love,joy,surprise,anger,sadness,fear,notes,comment N,comment N-1,comment N-2,...,comment 2,comment1
73819,x,x,,,,,,looks good. Thanks!,,,,,
2685,,,,,,,,Integrated in Hadoop-Mapreduce-trunk #1386 (See https://builds.apache.org/job/Hadoop-Mapreduce-trunk/1386/) YARN-209. Fix CapacityScheduler to trigger application-activation when the cluster capacity changes. Contributed by Zhijie Shen. (Revision 1461773) Result = SUCCESS vinodkv : http://svn.apache.org/viewcvs.cgi/?root=Apache-SVN&view=rev&rev=1461773 Files : /hadoop/common/trunk/hadoop-yarn-project/CHANGES.txt /hadoop/common/trunk/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/main/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/capacity/LeafQueue.java /hadoop/common/trunk/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/test/java/org/apache/hadoop/yarn/server/resourcemanager/TestRM.java /hadoop/common/trunk/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/test/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/capacity/TestLeafQueue.java,,,,,
10446,,,,,,,,This bug has been fixed in Xalan Java 2.5.2. Please verify.,,,,,
14571,,x,,,,,,yay! it should be really really easy (not including the test; I think it's just deleting 6 characters),,,,,
4758,,,,,,,,See comments above; closing,,,,,
58715,,,,,,,,Fixed in revision 1073288,,,,,
5294,x,x,,,,,,After re-compiling the applcation and re-deploying everything worked properly; seems like during the first deployment something wrong happened and something got corrupted. Closing this issue as invalid. Thanks for your assistance.,,,,,
56246,,,,,,,,Fixed in nightly build 20010612. Will be fixed in Struts 1.0 final.,,,,,
28310,,,,,,,,Change the element type of 'attributes' to FSAttribute.,,,,,
57161,,,,,,x,,The tests have been added; so closing. Travis; please keep an eye on the results of the tests in our nightly builds and post patches for any build issues. We also need to open a new issue for each test that fails at runtime as a result of thread safety bug(s) in the library; in addition to those for any other failures.,,,,,
33497,,,,,,,,Closing because this has been in RESOLVED state for over one year; if it turns out to not be fixed please reopen.,,,,,
12867,,,,,,,,Integrated in Struts2 #545 (See https://builds.apache.org/job/Struts2/545/) WW-3881 allows new html input types (Revision 1397712) Result = SUCCESS lukaszlenart : Files : /struts/struts2/trunk/core/src/site/resources/tags/ajax/autocompleter.html,,,,,
6447,,,,,,,,See bug 5694 for the DOMException problem.,,,,,
11718,,,,,,,,*** This bug has been marked as a duplicate of 6155 ***,,,,,
41195,x,,,,,,,Thanks to Hazem Saleh for provide us this enhancement fixed at revision 655653,,,,,
60022,,,,,,,,[branch_4x commit] Shalin Shekhar Mangar http://svn.apache.org/viewvc?view=revision&revision=1444786 SOLR-4426: NRTCachingDirectoryFactory does not initialize maxCachedMB and maxMergeSizeMB if <directoryFactory> is not present in solrconfig.xml,,,,,
64407,,,,,,,,This bug was modified as part of a bulk update using the criteria... Marked ('Resolved' or 'Closed') and 'Fixed' Had no 'Fix Version' versions Was listed in the CHANGES.txt for 1.1 The Fix Version for all 38 issues found was set to 1.1; email notification was suppressed to prevent excessive email. For a list of all the issues modified; search jira comments for this (hopefully) unique string: 20080415hossman3,,,,,
50889,,,x,,,,,Seems like this has all been done.,,,,,
51837,,,,,x,,,The change you want would be nice; but is simply not possible. The form data is either available or not; if there's a file upload exception; then none of the data submitted in the form is available to Tapestry. This is a function of the multipart/form encoding type and the underlying Jakarta FileUpload library.,,,,,
48034,,,x,,,,,Very curious as to where you saw that exception. Because digging through my log files; all I see are series of 'NoClassDefFound' exceptions. Same goes for the sample project I submitted. I get the following stack trace: java.lang.RuntimeException: java.lang.ClassNotFoundException: caught an exception while obtaining a class file for org.apache.tapestry.transformationtest.pages.Start åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.tapestry.internal.services.ComponentInstantiatorSourceImpl.findClass(ComponentInstantiatorSourceImpl.java:240) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.tapestry.internal.services.ComponentInstantiatorSourceImpl.findInstantiator(ComponentInstantiatorSourceImpl.java:222) åÊåÊåÊåÊåÊåÊåÊåÊat $ComponentInstantiatorSource_1177c5597da.findInstantiator($ComponentInstantiatorSource_1177c5597da.java) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.tapestry.internal.services.PageElementFactoryImpl.newRootComponentElement(PageElementFactoryImpl.java:297) åÊåÊåÊåÊåÊåÊåÊåÊat $PageElementFactory_1177c5597e8.newRootComponentElement($PageElementFactory_1177c5597e8.java) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.tapestry.internal.services.PageLoaderProcessor.loadRootComponent(PageLoaderProcessor.java:387) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.tapestry.internal.services.PageLoaderProcessor.loadPage(PageLoaderProcessor.java:365) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.tapestry.internal.services.PageLoaderImpl.loadPage(PageLoaderImpl.java:60) åÊåÊåÊåÊåÊåÊåÊåÊat $PageLoader_1177c5597e5.loadPage($PageLoader_1177c5597e5.java) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.tapestry.internal.services.PagePoolCache.checkout(PagePoolCache.java:188) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.tapestry.internal.services.PagePoolImpl.checkout(PagePoolImpl.java:108) åÊåÊåÊåÊåÊåÊåÊåÊat $PagePool_1177c5597e4.checkout($PagePool_1177c5597e4.java) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.tapestry.internal.services.RequestPageCacheImpl.get(RequestPageCacheImpl.java:43) åÊåÊåÊåÊåÊåÊåÊåÊat $RequestPageCache_1177c5597e3.get($RequestPageCache_1177c5597e3.java) åÊåÊåÊåÊåÊåÊåÊåÊat $RequestPageCache_1177c5597d7.get($RequestPageCache_1177c5597d7.java) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.tapestry.internal.services.PageRenderRequestHandlerImpl.handle(PageRenderRequestHandlerImpl.java:55) åÊåÊåÊåÊåÊåÊåÊåÊat $PageRenderRequestHandler_1177c5597cc.handle($PageRenderRequestHandler_1177c5597cc.java) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.tapestry.internal.test.PageLinkInvoker.invoke(PageLinkInvoker.java:59) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.tapestry.test.PageTester.invoke(PageTester.java:167) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.tapestry.test.PageTester.renderPage(PageTester.java:129) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.tapestry.transformationtest.pages.TestStart.render_start(TestStart.java:12) Even turning on debugging output; I don't see the exception message you posted.,,,,,
13382,,,,,x,,,As you wish http://cwiki.apache.org/confluence/display/WW/Struts+2+Blank+Archetype,,,,,
20905,,,,,,,,1.3.x is no longer maintained outside of security-related issues; please upgrade to 1.4.x,,,,,
63758,x,,,,,,,Committed revision 682671. Added an excludes for **/target/ to the patch to make sure the DataImportHandler binaries do not get packaged. Thanks Jeremy!,,,,,
16908,,,,,,,,Thanks. The problem is with deferred node expansion; when this is on the Node appears as null instead of a Text node with an empty String. I'll merge a fix shortly.,,,,,
75490,,,,,,,,Ok; since you have a workaround I will close this.,,,,,
